id,text,location
1,]-wa VIR 1 MUL 2 'ko-wa 1'ko-wo 1,Knossos
2,"pe-re-ko VIR 1 MUL 1 ko-wa 2 , ko-wo 1",Knossos
3,]to-ro-wo VIR 1,Knossos
4,e-ri-*19 VIR 1 ko-wo 1,Knossos
5,ke-re-u VIR 1 MUL 1 [,Knossos
6,qe-ri-jo VIRc 1 MUL 1 ko-wa [,Knossos
7,".a pe-se-ro-jo , e-e-si
.b MUL 1 ko-wa 1 ko-wo 1Confirmed with Chadwick & Ventris 1973",Knossos
8,"The , in .a is above the ko in ko-wa in .b
Scribe 124b",Knossos
9," pa-ro , u-wa-si-jo , ko-wo [",Knossos
10, ] ko-wa 1 di ko-wa 1,Knossos
11, ] MUL 3 ko-wa 1 ko-wo 2 [,Knossos
12, ] (MUL) 1 ko-wo 1 [,Knossos
13,".A ] ko-wa 6
.B ]-ja MUL (5) ko-wo 2",Knossos
14, ]-ta-ra2 MUL 1,Knossos
15,"ra-su-to , 'a-ke-ti-ri-ja'MUL 2ko-wa 1 ko-wo 1",Knossos
16,ra-su-to a-ke-ti-ri-ja MUL 2ko-wa 1 ko-wo 1,Knossos
17, ] ko-wo 2 GRA 1 T 2 [,Knossos
18, ]re-ja MUL (3) ko-wa 1 ko-wo 1 GRA (T) [,Knossos
19, ] MUL 3 ko-wa 2 ko-wo 2,Knossos
20," ]ra-ma-na , / e-ne-ra MUL [",Knossos
21," a-pi-qo-i-ta / do-e-ra MUL 32 ko-wa , me-zo-e 5 ko-wa me-wi-jo-e 15ko-wo me-wi-jo-e 4",Knossos
22," ]ta-na-qo , a-mi-ni-si-ja , [
]ra MUL [",Knossos
23,".a te-o , do-e-ro [
.b a-ri-ke-u , / ka-(pa)-so ja-[ ",Knossos
25," ]-qo-ta , / o-du-ru-wi-ja [
]MUL 1 [",Knossos
26," ](we)-re-ki-ja [
](we)-ka-ta [",Knossos
27," ]*56-so-jo , / a-mi-ni-so , // do-e-ra 
 ] vacat",Knossos
28," ]e-ra we-ka-sa[
] , qi-ri-ja-to , [",Knossos
29," di-ka[MUL 200[
inf. mut.",Knossos
30,"sup. mut.
 ](wo) 6 GRA 2 T (2)[
](2) ko-wo 8 GRA (2) (T)[
](wa) 8 ko-wo (1) GRA 2 T (1)[
] vacat [",Knossos
31," ]ko , / si-ra-ko , // qi-ri-ja-to , [
] [ [(MUL) 1] ] [",Knossos
32, ](3) ko-wo 1[,Knossos
33, ] (MUL) 12 ko-wa[,Knossos
34, ](1) ko-wa 2 ko-wo 1,Knossos
35, ] MUL (6) (ko)-wa 6 ko-wo 4 GRA 1 T [,Knossos
36, ](wa) 3 ko-wo[,Knossos
37, ]ko-wa (2)[,Knossos
38," ](ja)-to , si-(qa) [
] vacat [",Knossos
39," ]ra , pi-ja[
] vacat [",Knossos
40, ](ko)-wo (5)[,Knossos
41,"sup. mut.
 ](te)-(ja)-ne (MUL)[",Knossos
42,".a to-so [
.b da-wi-jo / VIR[",Knossos
44,".a ](i)-ta2 [
.b ] LUNA 1 VIR 4[
.c ](1)[",Knossos
45,".a to-so , e-te , e-so-to , a-mo-ra-ma
.b ko-no-si-jo , / VIR 25",Knossos
47,".a e-te , e-so-to , a-mo-ra-ma
.b to-so , / a-mi-ni-si-jo , VIR 9",Knossos
49,".A ] we-ke-i-ja VIR 18 'ko-wo' 8
.B ](qa)-ra / si-to LUNA 1 HORD 9 T 7 V 3 ",Knossos
51,"]ra-jo , / e-qe-ta-e , e-ne-ka , (e)-mi-to VIR 2 // ki-ta-ne-to , / su-ri-mo , e-ne-ka , o-pa VIR (1) ",Knossos
52,"si-ja-du-we , (ta)-(ra) , / i-je-[ ]-u , po-me , e-ne-ka , o-pa X VIR 1 // ko-pe-re-u , / e-qe-ta , e-ki-si-jo VIR 1 ",Knossos
53,"]-ra-jo e-qe-ta-(e) e-ne-ka ti-mi-to VIR (2) ki-ta-ne-to su-ri-mo e-ne-ka o-pa VIR 1 [
]-(ne)-we (e)-(ra) i-je-[ ]-u po-me e-ne-ka o-pa VIR 1 ko-pe-re-u e-qe-ta e-ki-si-jo VIR 1 ",Knossos
54,a-pa-ta-wa-jo te-re-ta VIR 4(5),Knossos
55,"a-pa-ta-wa-jo , / te-re-ta VIR 45[te-ko-to-ne VIR 5 [",Knossos
56,si-mi-te-u VIR 1 a-wa-ti-ka-ra MUL 1 [ko-wo 1 [,Knossos
57,"]8 VIR 4 se-to-i-(ja)[
]e 2 [",Knossos
58,"]-so / ka-ma-jo , VIR 16[",Knossos
60,"a-pe-a-sa / i-ta-mo , do-ti-ja , MUL 1 ki-nu-qa *56-ko-we MUL 1 [(ti)-wa-ti-ja / a-*79 a-no-qo-ta MUL 3[ ] ko-ma-we-to MUL 2 we-ra-te-ja MUL 2 [",Knossos
61,".1A vacat [
.1B ](i)-ja , / a-ke-wo do-e-ra MUL 4 [ [ ko ] ] [
.2 ]ro , / do-e-ra (MUL) 1 di-qa-ra[
.3 ]ne-o , / do-e-ra (MUL)[",Knossos
62,"tu-ni-ja 'tu'MUL 4 ne 'di' 3 'ko 1'ri-jo-no 'tu'MUL 3 ko-wo 3[do-ti-ja 'tu'MUL 4 ne 'di' 6[ ] vacat [
vacat [",Knossos
63,"(a)-ke-si-ja , ka-(ma)[ko-so-jo , MUL 1 tu 2[
(da)-[",Knossos
65,"]-me-no X MUL 1 tu-zo X MUL 1 ko-pi X MUL (1) [ ]a-to-me-ja MUL 1 da-te-ne-ja MUL 1 X pa-ja-ni MUL 1 [ ](pi)[ ]wo-di-je-ja MUL 1 ko-wo 1 du-sa-ni X MUL 1 ma-ku[ ]pa-i-ti-ja X MUL 1 pi-ra-ka-ra X MUL 1 *18-to-no , / tu , MUL 2 X wi-so (MUL) 1 Xe-ra-ja MUL 7 ko-wa 1 ko-wo 1to-sa MUL 45 ko-wa 5 ko-(wo) 4ke-ra-me-ja X MUL 1 ko-wo 1 tu-*49-mi X MUL 1 i-du X (MUL)[ ]tu-ka-to X MUL 1 e-ti-wa-ja MUL 1 sa-ma-ti-ja X MUL 1 (si)-[ku-tu-qa-no X MUL 1 wi-da-ma-ta2 X MUL 1 ka-na-to-po X MUL 1 sa-ti-(qi)-(to) MUL 1tu-ka-na X MUL 1 sa-*65 X MUL 1 u-jo-na X MUL 1 sa-mi MUL 1(a)-de-ra2 X MUL 1 tu-ka-na X MUL 1 pu-wa MUL 1 X si-nu-ke X MUL 1
]qi-ti-ta X MUL 1 si-ne-e-ja MUL 1 X u-pa-ra MUL 1 X ru-ta2-no MUL
](du)-tu-wa MUL 1 ko-wa 2 ke-pu MUL 1 ko-wa 2 wa-ra-ti MUL
]-(ja)-si-ja MUL 4 a-nu-wa-to MUL 1[",Knossos
66,"](ja) , / ko-u-re-ja MUL (1)[
 ]ka-ra-we MUL 1[
 ] a-ze-ti-ri-ja MUL 1[
] vacat [",Knossos
67,"](i)-ta-no MUL 1 ka-*56-so-ta MUL 1 a2-du-wo-na MUL 1
]wi-ja-na-tu MUL 1 i-ta-ja MUL 1",Knossos
69,"]e-ke
][ [ (wa) (1) ] ] ko-wo 1
[ [ (OLIV) (1) ] ]",Knossos
70,"]ja-mi-nu MUL 1
 ] MUL (10)[",Knossos
71,"]si 1 tu 1 ki-zo 1 MUL (3) (TELA)[ ](a)-ma-no-[
]1 o-ri-mo MUL 3 TELA+TE 1 pu-zo , ti-no , pi-ja-mu-nu (MUL)[
]ni-ta , o-sa-po-to MUL 3 TELA+TE 1 [
] vacat [",Knossos
72,"sup. mut.
](X) MUL 1
 ]-(u)-(ra) MUL 1 X
 ]na (MUL) (1) (tu)-ka-na X MUL 1
 ]ma MUL 1 te-qa-ja MUL 1
 ]ja (MUL) 1[ ]ja-mu-(ta) MUL (1)[
 ]-ta2-no[
inf. mut.",Knossos
73,"](no)-(si)-ja / to-sa MUL 26 (di)[
 ]7 ko-wo 9 ka-ra-we MUL 6 [
lat. inf.
] e-u-[",Knossos
74,"] ko-wo , di (4) qa-mi-ja ko-wa 'di' 3 ko-wo di (3)[
 ] 'di' 1 ri-jo-no ko-wo di 2 [
] vacat [",Knossos
78,"sup. mut.
 (o)-[ ] , (ko)-(no)-so VIR[a-to , / da-*22-to VIR 1zo-do-so , / da-*22-to VIR 1a-sa-ro , / da-*22-to VIR 1ko-so , / da-*22-to VIR 1su-ke-re , / se-to-i-ja VIR 1
vacat
 ](to)-so VIR 10
] vacat",Knossos
79,"]di-ka-ta-ro (VIR)[
 ](si)-ja-qo VIR[
](ke)-we-da (VIR)[",Knossos
80,"]VIR 1 TELA1 1
 ](jo) (VIR) (1)[ ] VIR 1 TELA1 1 [
 ], qe-ro a-ta-qe VIR (2) TELA1 1 ka-nu-se-u , ta-to-qe VIR 2 TELA(1) 1[
 ](da)-ro , a-ka-sa-no[ ]VIR 2 TELA1(pe)-re-*82-ta , qo-wa-ke-se-u[
]to-so [ ](VIR) 12 [ ](1) [",Knossos
81," ]VIR 1 no-si-ro VIR (1)[ ](a)-ta-no VIR 1
]1 ma-di VIR 1 o-po-ro-u-si-jo[
]1 pe-te-u VIR 1 ku-ro2 VIR[
] vacat [",Knossos
82," ] e-re-dwo-(e) , ka-(ta2)-(ro) 'si-(ra)-so'VIR 1 e-ri-ta-qi-jo , / ka-mo 'VIR 1'
 ]ra-su-to VIR 1 ta-de-(so) (ra)-su-to[ ] 1 au-ri-jo 'wi-na-to'VIR 1
 ]te-so 'wi-na-to'VIR 1 te-(na)-ja-so[ ](1) qa-qa-ro 'pu-so'VIR 1 [ ]to , / u-ta[",Knossos
83," ]ni-jo VIR 2 TELA1[ ](ra)-wo-ke-ta , e[
] VIR 2 TELA1 1 qe-[ . . ]-no , pe-ro-qe VIR 2[ ] TELA1 1
](VIR) 2 TELA1 1 tu-ma-i-ta , qe-ta-se-u[ ] TELA1 1
 ] vacat [
]2 [",Knossos
84,".1 ]VIR 1 a-ra-ko VIR 1
.2 ]1 ta-ta-ro VIR 1
.3 ]VIR 1 (si)-mi-do VIR 1 (*56)-ni-sa-ta VIR 1
.4 ](1) [ ](ro)-ti-jo VIR 1
.5a ] ke-re-(to)[
.5b ](1) i-ne-u , ra-(ja)[",Knossos
86," ](i) 1 DA 1 / (ku)-(ru)-no[ ] VIR 5 [] 1 DA 1 / pa-ta-u-(na) [ ] VIR (1)[](1) / [ ]pa-ta-u-na // a3[ ] VIR 1 DA 1 / pa-ta-u-na // ko-no-si-jo (VIR)[ ] ta-so DA 1 / (ke) [ ] 1 ke , ta-pa-da-no DA 1 / ke // si-to-(po)[ 
]ko-me-no VIR (1)[ ] no-do-ro-we (DA)[
lat. inf.
 ] DA 1 a-ma[ ]e-ne-o (o)-u[",Knossos
